# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: C:\Users\GoTouch\Documents\GitHub\proyecto_final\VGA\pin_planner.csv
# Generated on: Sun May 26 00:12:09 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
clk,Unknown,PIN_AF14,3B,B3B_N0,,,,,,,,,,,,,,
hsync_out,Unknown,PIN_B11,8A,B8A_N0,,,,,,,,,,,,,,
vsync_out,Unknown,PIN_D11,8A,B8A_N0,,,,,,,,,,,,,,
blank_b_out,Unknown,PIN_F10,8A,B8A_N0,,,,,,,,,,,,,,
sync_b_out,Unknown,PIN_C10,8A,B8A_N0,,,,,,,,,,,,,,
red[0],Unknown,PIN_A13,8A,B8A_N0,,,,,,,,,,,,,,
red[1],Unknown,PIN_C13,8A,B8A_N0,,,,,,,,,,,,,,
red[2],Unknown,PIN_E13,8A,B8A_N0,,,,,,,,,,,,,,
red[3],Unknown,PIN_B12,8A,B8A_N0,,,,,,,,,,,,,,
red[4],Unknown,PIN_C12,8A,B8A_N0,,,,,,,,,,,,,,
red[5],Unknown,PIN_D12,8A,B8A_N0,,,,,,,,,,,,,,
red[6],Unknown,PIN_E12,8A,B8A_N0,,,,,,,,,,,,,,
red[7],Unknown,PIN_F13,8A,B8A_N0,,,,,,,,,,,,,,
green[0],Unknown,PIN_J9,8A,B8A_N0,,,,,,,,,,,,,,
green[1],Unknown,PIN_J10,8A,B8A_N0,,,,,,,,,,,,,,
green[2],Unknown,PIN_H12,8A,B8A_N0,,,,,,,,,,,,,,
green[3],Unknown,PIN_G10,8A,B8A_N0,,,,,,,,,,,,,,
green[4],Unknown,PIN_G11,8A,B8A_N0,,,,,,,,,,,,,,
green[5],Unknown,PIN_G12,8A,B8A_N0,,,,,,,,,,,,,,
green[6],Unknown,PIN_F11,8A,B8A_N0,,,,,,,,,,,,,,
green[7],Unknown,PIN_E11,8A,B8A_N0,,,,,,,,,,,,,,
blue[0],Unknown,PIN_B13,8A,B8A_N0,,,,,,,,,,,,,,
blue[1],Unknown,PIN_G13,8A,B8A_N0,,,,,,,,,,,,,,
blue[2],Unknown,PIN_H13,8A,B8A_N0,,,,,,,,,,,,,,
blue[3],Unknown,PIN_F14,8A,B8A_N0,,,,,,,,,,,,,,
blue[4],Unknown,PIN_H14,8A,B8A_N0,,,,,,,,,,,,,,
blue[5],Unknown,PIN_F15,8A,B8A_N0,,,,,,,,,,,,,,
blue[6],Unknown,PIN_G15,8A,B8A_N0,,,,,,,,,,,,,,
blue[7],Unknown,PIN_J14,8A,B8A_N0,,,,,,,,,,,,,,
clk_out,Unknown,PIN_A11,8A,B8A_N0,,,,,,,,,,,,,,
